1136573,2,7,3,GJ Maxwell,RR Pant,TK Curran,6,0,6,0,0,NA,NA,NA,NA,Delhi Daredevils,Kolkata Knight Riders
1136573,2,7,4,GJ Maxwell,RR Pant,TK Curran,0,0,0,0,0,NA,NA,NA,NA,Delhi Daredevils,Kolkata Knight Riders
1136573,2,7,5,GJ Maxwell,RR Pant,TK Curran,1,0,1,0,0,NA,NA,NA,NA,Delhi Daredevils,Kolkata Knight Riders
1136573,2,7,6,RR Pant,GJ Maxwell,TK Curran,0,0,0,0,0,NA,NA,NA,NA,Delhi Daredevils,Kolkata Knight Riders
1136573,2,8,1,GJ Maxwell,RR Pant,Kuldeep Yadav,4,0,4,0,0,NA,NA,NA,NA,Delhi Daredevils,Kolkata Knight Riders
1136573,2,8,2,GJ Maxwell,RR Pant,Kuldeep Yadav,1,0,1,0,0,NA,NA,NA,NA,Delhi Daredevils,Kolkata Knight Riders
1136573,2,8,3,RR Pant,GJ Maxwell,Kuldeep Yadav,0,0,0,0,1,caught,RR Pant,PP Chawla,NA,Delhi Daredevils,Kolkata Knight Riders
1136573,2,8,4,R Tewatia,GJ Maxwell,Kuldeep Yadav,1,0,1,0,0,NA,NA,NA,NA,Delhi Daredevils,Kolkata Knight Riders
1136573,1,9,5,CA Lynn,N Rana,S Nadeem,1,0,1,0,0,NA,NA,NA,NA,Kolkata Knight Riders,Delhi Daredevils
1136573,1,9,6,N Rana,CA Lynn,S Nadeem,0,0,0,0,0,NA,NA,NA,NA,Kolkata Knight Riders,Delhi Daredevils
1136573,1,10,1,CA Lynn,N Rana,Mohammed Shami,1,0,1,0,0,NA,NA,NA,NA,Kolkata Knight Riders,Delhi Daredevils
1136573,1,10,2,N Rana,CA Lynn,Mohammed Shami,1,0,1,0,0,NA,NA,NA,NA,Kolkata Knight Riders,Delhi Daredevils
1136573,1,10,3,CA Lynn,N Rana,Mohammed Shami,2,0,2,0,0,NA,NA,NA,NA,Kolkata Knight Riders,Delhi Daredevils
1136573,1,10,4,CA Lynn,N Rana,Mohammed Shami,0,0,0,0,0,NA,NA,NA,NA,Kolkata Knight Riders,Delhi Daredevils
1136573,1,10,5,CA Lynn,N Rana,Mohammed Shami,0,0,0,0,1,caught,CA Lynn,JJ Roy,NA,Kolkata Knight Riders,Delhi Daredevils
